@ehl@	-organization=45 -location=4
@jersey_evening_post@	-art=21
@antipater_the_idumaean@	-person=23
@nbn_television@	-broadcast_network=56
@elco@	-organization=41 -product=3 -person=1
@i.sat@	-broadcast-tv_channel=21
@la_usurpadora@	-broadcast_program=24
@bolaños@	-location=18 -person=7
@kangerlussuaq@	-location=64
@intel's@	-organization=20
@james_vii@	-person=53
@konkona_sen_sharma@	-person=120
@john_collier@	-person=67 -organization=2
@dubicze_cerkiewne@	-location=27
@busta_rhymes@	-person=1148 -broadcast_program=1
@ddt@	-chemistry=398 -organization=17 -person=1
@robin_ray@	-person=20
@central_anatolia_region@	-location=22
@gleason@	-person=13 -location=6 -organization=2
@gilles_vigneault@	-person=59
@peć@	-location=204
@st._paul's_convent_school@	-organization=21
@fitzwilliam@	-location=39 -person=6 -title=4 -organization=4 -art=2
@russell_henley@	-person=33
@u.s._route_169@	-location=38
@westfield_state_university@	-organization=55
@meps@	-title=134 -organization=5
@tyrese@	-person=36 -art=1
@battle_of_the_bulge@	-event=1118 -art=31 -product=1
@candy_shop@	-art=35 -organization=1
@brian@	-person=153 -product=4
@countdown_to_looking_glass@	-art=27
@oxford_poetry@	-art=21
@paddy_keenan@	-person=46
@erin_brockovich@	-art=135 -person=61
@pearl@	-art=58 -organization=45 -location=18 -person=11 -broadcast_program=6 -product=2 -visual_art-color=1 -computer-programming_language=1
@first_edition@	-event=9 -broadcast_program=6 -art=3 -broadcast_network=2 -person=1
@u.s._route_27@	-location=101
@øyafestivalen@	-event=32
@carlos_diegues@	-person=33
@elvis@	-person=175 -art=70 -broadcast_program=5 -title=1
@raigarh@	-location=71
@grifters@	-person=16 -title=5
@jason_giambi@	-person=160
@light_dragoons@	-organization=31 -title=1
@gauri@	-god=20 -location=3
@portugal@	-location=14710 -organization=1471 -event=55 -person=3 -people-ethnicity=3 -title=2 -product=1 -broadcast_program=1
@chinquapin@	-living_thing=13 -location=11
@great_divide@	-location=17 -art=3
@charging_bull@	-art=19 -living_thing=1
@jesse_fuller@	-person=74
@second_district@	-location=27 -event=1
@scottish_first_division@	-organization=282 -event=1
@new_flyer@	-organization=38 -product=1
@crystal_palace_transmitting_station@	-location=20
@warrior_soul@	-person=31 -art=5
@uruguayan_league@	-organization=25
@national_association_of_social_workers@	-organization=61
@the_singing_nun@	-person=29 -art=17
@major_lazer@	-person=145
@grand_cayman@	-location=236
@maria_fyodorovna@	-person=21
@dandelion_wine@	-art=21 -person=1
@doug_gilmour@	-person=107
@i-376@	-location=45
@zetland@	-location=26 -person=3
@kōtoku@	-person=20 -location=2
@norman_manley@	-person=43
@chitty_chitty_bang_bang@	-art=211
@national_bank_of_kuwait@	-organization=34
@squillace@	-location=38
@georges_marchais@	-person=30
@galileo@	-product=106 -art=19 -organization=13 -broadcast_program=8
@lamas@	-location=29 -living_thing=1 -person=1
@maricel_soriano@	-person=115
@northumberland_east@	-location=22
@uri_zvi_grinberg@	-person=21
@chattanooga_times_free_press@	-art=33
@dore_schary@	-person=83
@dmitry_oboznenko@	-person=273
@viola@	-product=256 -living_thing=48 -location=39 -person=13 -art=7
@celtic_woman@	-person=125
@alejandro_obregón@	-person=25
@bob_king@	-person=30
@surrey_county_cricket_club@	-organization=151
@noel_purcell@	-person=61
@robin_tunney@	-person=95
@boogie_down_productions@	-person=214
@thales_group@	-organization=139 -person=1
@ettington@	-location=20
@consualia@	-event=20
@lar@	-location=24 -god=9 -organization=8
@gracenote@	-organization=29
@balanites_aegyptiaca@	-food=20
@melrose_place@	-broadcast_program=87 -location=2
@dottie_pepper@	-person=31
@milarepa@	-person=79 -art=1
@aleimma_loeflingiana@	-living_thing=37
@yamhill@	-location=67
@occipital@	-body_part=38 -medicine-medical_treatment=1
@tahiti@	-location=1367 -organization=110 -product=3 -person=2 -event=1
@western_church@	-religion-religion=13 -organization=8 -location=1
@chanute@	-location=27 -person=1
@obadiah_ben_abraham@	-person=21
@emley@	-organization=16 -location=15
@bitton@	-location=41 -organization=6
@women's_400_metres@	-event=23
@juhi_parmar@	-person=29
@john_blow@	-person=102
@las_vegas@	-location=4673 -broadcast_program=307 -organization=49 -event=12 -art=7
@acrobat@	-title=41 -product=14 -art=2
@tom_clancy's_endwar@	-product=37 -art=3
@limerick_city@	-location=50 -organization=8
@lamballe@	-location=26 -person=1
@kurobe@	-location=32
@top_dog@	-person=11 -art=9
@exile@	-person=190 -art=23 -product=20 -broadcast_program=18 -location=2 -organization=1
@slam@	-person=35 -art=23
@charles_phillips@	-person=27
@lakeville@	-location=127 -organization=1
@mancunian@	-location=39 -language=5
@woolston@	-location=73 -product=2 -person=1
@doctor_of_musical_arts@	-education-educational_degree=82
@philostratus@	-person=84
@radu_albot@	-person=39
@lorenzo_white@	-person=22
@zoomermedia@	-organization=27
@president_of_paraguay@	-title=155
@elisabeth_bachman@	-person=23
@jim_doyle@	-person=111
@trent_acid@	-person=62
@laurent_schwartz@	-person=46
@ministry_of_natural_resources@	-organization=47 -title=2
@dave_pegg@	-person=109
@the_light_of_the_world@	-art=36
@nuclear_threat_initiative@	-organization=59
@heritage_usa@	-location=32
@timmy_time@	-broadcast_program=20
@second_battle_of_tembien@	-event=20
@operator@	-title=25 -person=12 -product=8 -art=3
@brett_swain@	-person=24
@bbva_compass_stadium@	-location=50
@guysborough_county@	-location=119
@thomas_newton@	-person=26
@galba@	-person=179 -living_thing=3
@university_of_leeds@	-organization=1278
@franne_golde@	-person=29
@michael_grant@	-person=43
@manfred_von_ardenne@	-person=42
@byrd_glacier@	-location=50
@elastica@	-person=165 -art=10
@the_felice_brothers@	-person=34 -art=2
@veteran@	-title=63 -location=10 -product=6 -art=6 -event=1 -organization=1 -person=1
@coda@	-art=29 -person=9 -product=6 -organization=1
@chris@	-person=150 -art=1 -event=1
@twente@	-organization=144 -location=100
@john_ferguson@	-person=64
@tōru_hashimoto@	-person=27
@haywards_heath@	-location=222 -organization=3
@mescaline@	-medicine-drug=26
@muzharul_islam@	-person=21
@birds_of_tokyo@	-person=65 -art=6
@television_critics_association_awards@	-award=23 -organization=3
@obadiah@	-person=51 -art=16
@bht@	-chemistry=19 -broadcast_network=1
@fort_keogh@	-location=32
@julian_orchard@	-person=26
@kurt_von_tippelskirch@	-person=22
@xxiii@	-event=31 -law=1
@kingdom_of_hawaii@	-location=490
@oncf@	-organization=27
@deconstruction@	-organization=20 -person=10 -art=7
@deep_six@	-art=34
@northwest_passage@	-location=482 -art=31 -broadcast_program=21
@east_coker@	-location=23 -art=6
@players_association@	-organization=13 -person=8
@jean-pierre_castaldi@	-person=22
@benoît_magimel@	-person=36
@swervedriver@	-person=65
@air_university@	-organization=115
@outokumpu@	-organization=45 -location=5
@civic@	-product=75 -location=16 -organization=9 -title=1
@via_salaria@	-location=61
@broken_wings@	-art=52
@vestavia_hills@	-location=25 -organization=1
@midnight_oil@	-person=397 -art=4
@european_championship@	-event=266 -organization=4
@university_of_massachusetts_boston@	-organization=202
@wollondilly@	-location=42
@winnebago_county@	-location=158
@city_of_yarra@	-location=44
@centennial@	-location=56 -broadcast_program=43 -art=14 -organization=8
@oxford@	-location=6494 -organization=1759 -product=19 -title=5 -person=4
@malin_åkerman@	-person=77
@turkey's@	-location=14 -organization=7
@china_eastern_airlines@	-organization=119
@the_big_easy@	-art=32 -broadcast_program=8
@vanløse@	-location=20 -organization=4
@sokolac@	-location=110
@kuntze@	-person=26
@manitou@	-location=20 -god=3
@the_right_stuff@	-art=215 -organization=7
@dga@	-organization=33 -award=2
@iso@	-organization=1116 -location=9 -product=5 -living_thing=1
@goiânia_microregion@	-location=26
@hughes@	-location=58 -person=47 -organization=23 -art=11 -product=2 -event=1 -title=1 -broadcast_program=1
@maloyaroslavets@	-location=33 -event=7
@hdd_olimpija_ljubljana@	-organization=52
@nba_shootaround@	-broadcast_program=21
@adp@	-chemistry=99 -organization=23 -person=1
@javier_arenas@	-person=28
@miss_northern_ireland@	-event=20
@tadeusz_gajl@	-person=30
@sacs@	-organization=76
@joe_e._ross@	-person=33
@tunch_ilkin@	-person=28
@dougherty@	-location=19 -person=2
@carl_correns@	-person=27
@idrees_sulieman@	-person=49
@74@	-art=25 -location=15 -metropolitan_transit-transit_line=10 -event=4 -product=4 -organization=1
@city_council_of_tehran@	-organization=26
@1st@	-organization=291 -location=36 -art=19 -event=8 -person=7 -law=5 -title=1
@the_guard@	-art=39 -broadcast_program=6
@adam_garcia@	-person=66
@laughing_boy@	-art=19 -person=2
@emerald_city@	-art=16 -broadcast_program=2 -location=1 -organization=1
@serow@	-living_thing=30 -location=6
@lanusei@	-location=22
@dieter_brock@	-person=29
@kokoro@	-art=18 -living_thing=3
@dale_messick@	-person=30
@harold_goodwin@	-person=75
@players_championship_finals@	-event=27
@maximus@	-person=41 -organization=3
@oriana@	-product=14 -art=7
@john_panozzo@	-person=41
@cal@	-organization=102 -art=13 -location=2 -computer-programming_language=2
@alex_mack@	-person=20 -broadcast_program=1
@larry_fitzgerald@	-person=195
@ian_nairn@	-person=46
@the_charge_of_the_light_brigade@	-art=128 -event=2
@hariharalaya@	-location=20
@grand_duke_of_tuscany@	-location=17 -person=13
@nematopogon_adansoniella@	-living_thing=23
@matthew_brown@	-person=19 -organization=2
@audio-visual_preservation_trust_of_canada@	-organization=28
@maggie_mcnamara@	-person=20
@félix_leclerc@	-person=53
@on@	-location=46 -art=20 -language=9 -person=7 -title=2 -broadcast_program=1
@460@	-art=13 -location=9 -product=3
@borgosesia@	-location=16 -organization=4
@fight_for_this_love@	-art=27
@charlotte_martin@	-person=42
@nancy_buckingham@	-person=23
@michael_nylander@	-person=32
@president_of_poland@	-title=262 -person=1 -event=1
@the_hanging_tree@	-art=23 -person=6
@steve_martin@	-person=773
@yma_sumac@	-person=58
@martinique_aimé_césaire_international_airport@	-location=22
@makin'_it@	-broadcast_program=15 -art=7
@1935_federal_election@	-event=102
@pope_stephen_ii@	-person=75
@benny_hill@	-person=204 -broadcast_program=5
@picea_rubens@	-living_thing=28
@operation_desert_shield@	-event=299
@kathleen_battle@	-person=125
@the_princess_of_wales@	-person=21
@bryn_mawr_school@	-organization=36
@first_among_equals@	-art=32 -broadcast_program=11
@la_spezia@	-location=535 -language=1
@lubbock_avalanche-journal@	-art=62
@d.gray-man@	-art=94
@resaca@	-event=33 -location=14
@black_river@	-location=306 -person=5 -organization=3 -art=2 -broadcast_program=2
@saintes@	-location=140 -event=1
@brice_marden@	-person=78
@elgar@	-person=195 -broadcast_program=5 -art=4
@howe@	-person=38 -location=30 -product=2
@raisen@	-location=20
@kansas_court_of_appeals@	-location=30
@pine_valley_golf_club@	-location=20
@gasoline@	-art=17 -person=3
@ohrdruf@	-location=51
@cp_cacereño@	-organization=25
@house_of_assembly@	-organization=534 -event=2
@martin_bernal@	-person=22
@protestants@	-religion-religion=236 -event=87 -organization=1
@company@	-art=289 -organization=27 -person=8 -product=5 -title=4
@mat_maneri@	-person=54
@best_actor@	-award=14 -art=9 -event=5
@long_man_of_wilmington@	-location=20
@heinrich_rickert@	-person=31
@golden_boy@	-art=49 -broadcast_program=41 -location=8 -award=4 -organization=2
@gene_autry@	-person=713 -location=9
@transformer@	-art=30 -location=2
@the_intruders@	-person=35 -art=6
@hans_christian_andersen@	-person=811 -art=42
@meeker@	-location=32
@directors@	-title=84 -award=2 -organization=2
@previous_year@	-event=33 -art=2
@moving_on@	-broadcast_program=39 -art=15
@bob_nieman@	-person=41
@evan_karagias@	-person=31
@jan_garbarek@	-person=242
@hang_tuah@	-person=54 -art=1 -product=1
@death_by_degrees@	-product=23
@roberta_maxwell@	-person=28
@ernest_douwes_dekker@	-person=25
@tom_angelripper@	-person=39
@mint@	-food=224 -art=59 -organization=22 -living_thing=22 -location=14 -product=4
@john_gielgud@	-person=759
@gmina_warlubie@	-location=36
@amanda_kessel@	-person=25
@sdl@	-product=85 -computer-programming_language=11 -organization=5
@allbritton_communications_company@	-organization=44
@asian_idol@	-broadcast_program=39
@under_the_bridge@	-art=57 -location=1
@athens_state_university@	-organization=22
@rosslyn@	-location=56
@königsegg@	-location=25 -person=5
@fabio_grosso@	-person=50
@rubí@	-broadcast_program=46 -location=10
@aleksandr_danilovich_menshikov@	-person=28
@surf's_up@	-art=42 -product=2
@jiyeon@	-person=20
@kaakha_kaakha@	-art=27
@jijel_province@	-location=36
@british_computer_society@	-organization=211
@we've_only_just_begun@	-art=54
@senghenydd_colliery_disaster@	-event=20
@rsa@	-organization=53 -event=9 -location=7 -person=1
@norman_johnson@	-person=159
@wannabe@	-art=107 -broadcast_program=1
@lötschberg_base_tunnel@	-location=34
@el_topo@	-art=33 -person=1
@massimo_d'azeglio@	-person=23
@american_dreams@	-broadcast_program=189 -art=4
@laurent_garnier@	-person=90
@paranoid@	-art=126 -disease=2
@yoshiki@	-person=78 -location=2
@gto@	-product=23 -art=14 -organization=11 -location=1
@master_of_economics@	-education-educational_degree=32
@st_mary's_church,_nottingham@	-location=36
@lake_maracaibo@	-location=136 -event=2
@guillaumin@	-person=29
@the_ides_of_march@	-art=42 -person=23
@red_wing@	-location=81 -art=8 -product=6 -person=4 -organization=2
@earl_of_liverpool@	-person=19 -title=11
@state_university_of_new_york_at_purchase@	-organization=110
@people's_crusade@	-event=22
@through_the_looking-glass@	-art=220
@vince_harder@	-person=20
@oral@	-body_part=18 -disease=4 -title=2 -person=1 -location=1
@utp@	-person=12 -chemistry=8
@213@	-person=29 -location=11 -art=2 -product=1
@john_lecompt@	-person=28
@the_duke_of_marlborough@	-person=20 -title=1
@earle_birney@	-person=64
@ian_wilmut@	-person=34
@saint-pierre@	-location=81 -organization=1 -person=1
@heves@	-location=29
@mingus@	-person=17 -location=4
@lower_alloways_creek_township@	-location=37
@tibidabo@	-location=24
@john_cadbury@	-person=20
@lumberton,_north_carolina@	-location=61
@ruby_rose@	-person=20
@television@	-person=203 -title=41 -broadcast_network=32 -art=12 -broadcast_program=11 -organization=8 -award=4 -location=1
@ministry_of_education_(singapore)@	-organization=22
@dark_justice@	-broadcast_program=21
@suebi@	-people-ethnicity=271 -location=1
@marcel_hossa@	-person=24
@scott_sharp@	-person=81
@hearne@	-location=14 -person=6
@michael_huffington@	-person=37
@john_ingle@	-person=31
@keren_ann@	-person=48 -art=2
@mary_harney@	-person=84
@zarzecze@	-location=27
@revolution_of_1905@	-event=104
@olympic_stadium@	-location=260 -event=1
@fort_independence@	-location=28
@heartaches@	-art=29
@charlotte,_grand_duchess_of_luxembourg@	-person=32
@carmarthen_&_dinefwr@	-location=69
@lou_dobbs_tonight@	-broadcast_program=39
@oghuz@	-people-ethnicity=72 -language=29 -location=1
@east_branch@	-location=45 -organization=1
@ben_eager@	-person=22
@hay_house@	-organization=54 -location=1
@carlo_scarpa@	-person=57
@uley@	-location=38
@south_east_queensland@	-location=291
@dolyna@	-location=23
@bcs_national_championship_game@	-event=230
@slayer@	-person=1082 -art=1
@steve_goulding@	-person=25
@barry_devlin@	-person=20
@manujan_county@	-location=156
@judaai@	-art=30
@poulton-le-fylde@	-location=85
@downtown_kansas_city@	-location=39
@triad@	-organization=114 -location=7 -product=3 -body_part=1 -person=1
@lesotho_highlands_water_project@	-location=27
@comes_a_time@	-art=21
@the_obsessed@	-person=78 -art=8
@kensington_gore@	-location=28
@agatha_christie's_marple@	-broadcast_program=101
@hekla@	-location=50
@pat_crawford_brown@	-person=30
@kelly_brook@	-person=92 -location=1
@e65@	-location=75 -product=3
@congressional_districts@	-organization=36 -location=9
@ngapoi_ngawang_jigme@	-person=21
@badly_drawn_boy@	-person=177
@pyunik@	-organization=35 -location=2
@visigothic_kingdom@	-location=382 -people-ethnicity=7
@angeles_crest_highway@	-location=39
@counties@	-location=429 -organization=13
@howrah-chennai_main_line@	-location=40
@united_states_attorney_for_the_southern_district_of_new_york@	-title=59
@prairie_dog_town_fork_red_river@	-location=22
@mulholland_drive@	-art=116 -location=95
@wang_film_productions@	-organization=41
@la_renga@	-person=30 -art=1
@rachel_crow@	-person=23 -art=1
@redland@	-location=42 -organization=8
@seeman@	-person=44
@east_slavs@	-people-ethnicity=50 -location=1
@pukapuka@	-location=49
@tiki_gelana@	-person=23
@dogra@	-people-ethnicity=109
@center_for_responsive_politics@	-organization=82
@dish_network@	-organization=839
@gracias@	-location=31 -art=5
@audley_harrison@	-person=67
@elbing@	-location=94 -product=1
@bodil_awards@	-award=59
@loos@	-event=72 -location=42 -person=1
@the_dove@	-art=19 -location=2 -product=2 -god=1
@total@	-organization=221 -person=27 -art=6 -food=3
@united_states_district_court_for_the_district_of_new_mexico@	-organization=27
@manuel_montt@	-person=50
@carib@	-people-ethnicity=75 -language=27 -organization=3
@hot_fuzz@	-art=141
@an_taisce@	-organization=35
@waddington@	-location=54 -person=2 -organization=1
@downtown_tampa@	-location=59
@terry_carr@	-person=155
@fujiwara_no_fuhito@	-person=33
@bumthang@	-location=28 -language=6
@the_edge@	-person=359 -art=33 -broadcast_program=9 -location=1 -organization=1
@hot_eyes@	-person=22
@tai_po@	-location=136 -organization=17
@mitsubishi@	-organization=212 -product=1
@mianrud_rural_district@	-location=43
@chicago_slaughter@	-organization=79
@lin_dan@	-person=79
@bowness-on-windermere@	-location=42
@rowntree@	-person=15 -organization=8
@alexander_walker@	-person=20
@first_italian_war_of_independence@	-event=67
@kirsten_flipkens@	-person=135
@crato@	-location=20 -person=2
@stephen_sommers@	-person=68
@wwj@	-organization=49 -location=2
@tamla@	-organization=22
@colleen@	-person=21 -art=1 -location=1
@meridian@	-location=274 -art=26 -product=6 -event=5 -organization=3 -broadcast_program=3
@united_states_department_of_labor@	-organization=301
@valerie_taylor@	-person=21
@casimir@	-person=39 -location=2
@san_bernardino_county@	-location=352 -organization=1
@toft@	-location=25
@western_hills@	-location=19 -organization=1
@miller_lite@	-food=125 -organization=1
@south_lebanon@	-location=25
@sameer@	-person=109 -organization=1
@bioshock_infinite@	-product=99 -art=1
@tijara@	-location=107
@the_games@	-broadcast_program=38 -art=7 -event=2 -product=1
@jennifer_dunning@	-person=23
@all_stars@	-award=12 -person=4 -organization=3 -art=2 -event=1
@gelsey_kirkland@	-person=34
@akaba@	-person=18 -location=3
@dead_by_april@	-person=40 -art=4
@oliver_leese@	-person=38
@juan_luis_guerra@	-person=245
@skull@	-body_part=138 -art=7 -person=2 -location=1
@arash@	-person=18 -art=2
@by_jeeves@	-art=23 -person=1
@courtney_gains@	-person=29
@carry_on_behind@	-art=26
@duke_of_savoy@	-person=42 -location=10
@louis_buchalter@	-person=28
@duluth_news_tribune@	-art=27
@tom_wills@	-person=58
@ordzhonikidze@	-location=24 -person=2
@brusque@	-location=26 -organization=16
@louis_banks@	-person=29
@national_instruments@	-organization=84
@geos@	-product=30 -organization=8
@vision_of_disorder@	-person=46 -art=4
@after_the_fall@	-art=41 -person=16
@antoine_arnauld@	-person=89
@rogów@	-location=28
@grasse@	-location=166 -person=2
@rainbow_bar_and_grill@	-location=20
@erkki-sven_tüür@	-person=33
@horizon@	-broadcast_program=141 -art=60 -organization=17 -location=6 -person=2 -award=1 -god=1
@the_greyboy_allstars@	-person=20
@danube@	-location=3582 -event=1
@university_of_minnesota_medical_school@	-organization=39
@rafaela_ottiano@	-person=24
@center_of_the_universe@	-broadcast_program=21 -art=1
@kanuri@	-people-ethnicity=78 -language=20
@us$@	-finance-currency=2244 -location=1
@juliana_hatfield@	-person=156 -art=2
@inverness_and_aberdeen_junction_railway@	-organization=20
@nilgiris@	-location=29 -food=1
@cataract@	-disease=29 -location=22 -person=15 -medicine-medical_treatment=1
@john_humphrey_noyes@	-person=27
@beulah@	-location=56 -broadcast_program=18 -event=2 -person=1 -organization=1
@hcl_technologies@	-organization=42
@vishvamitra@	-person=50
@east_bengal_f.c.@	-organization=79
@thundersley@	-location=31
@st._john's_high_school@	-organization=29
@carnaval@	-location=37 -art=35 -event=2
@village@	-location=71 -art=15 -organization=13 -food=1
@hyperdrive@	-broadcast_program=31
@van_halen@	-person=1071 -art=32
@2010_season@	-event=274 -organization=1
@ignition@	-art=33 -person=1
@homer_plessy@	-person=23 -event=1
@ichthyosaur@	-living_thing=30
@alma_college@	-organization=105 -location=2
@lake_mary@	-location=26
@hatfield@	-location=324 -organization=16 -person=9 -event=5
@associated_british_foods@	-organization=72
@zelman_v._simmons-harris@	-event=25
@guaymas@	-location=150
@david_mack@	-person=54
@gm@	-title=28 -organization=8 -product=4 -art=2 -biology=1 -award=1
@vail@	-location=143 -person=1
@chamonix@	-location=444 -event=2 -organization=1
@the_citadel@	-organization=215 -art=32 -broadcast_program=15 -location=6
@bundamba@	-location=22 -event=1
@megalopolis@	-location=90 -event=2
@athena_parthenos@	-art=37 -person=1
@saint_joseph's_day@	-time=22
@september_12@	-time=274 -art=1
@william_m._gwin@	-person=33
@derrick_sharp@	-person=22
@salem_abbey@	-location=21
@the_door@	-art=24 -broadcast_program=7 -location=1
@ellen_albertini_dow@	-person=30
@gupta@	-location=104 -organization=2
@american_eagle_flight_4184@	-event=23
@ena@	-location=38 -organization=22 -person=2 -broadcast_program=1
@crystal_brook@	-location=34
@the_last_place_on_earth@	-broadcast_program=22
@sovereign@	-title=183 -product=11 -person=5 -art=4 -organization=3 -award=3
@friedrich_de_la_motte_fouqué@	-person=59
@maha_bandula@	-person=21
@chai@	-food=34 -art=2
@stevan_ridley@	-person=23
@the_zombies@	-person=237 -art=7
@canada's@	-location=80 -organization=45
@anita_linda@	-person=48
@annascaul@	-organization=18 -location=11
@lumban@	-location=22
@london_bridge@	-location=480 -art=21 -broadcast_program=9
@cysteine@	-biology=20
@ross_hutchins@	-person=101
@united_kingdom_general_election,_2010@	-event=118
@ray_stannard_baker@	-person=38
@vegas@	-broadcast_program=34 -location=27 -art=22 -person=21
@fiorucci@	-organization=20
@melrose_abbey@	-location=114
@raisio@	-location=36
@new_haven_elm_citys@	-organization=32
@richard_russell,_jr.@	-person=56
@zhengzhou_university@	-organization=23
@descartes@	-person=118 -location=4 -art=1 -organization=1
@the_french_laundry@	-location=23
@ana@	-organization=47 -art=7 -person=6
@kids'_wb@	-broadcast_network=164
@abby_wambach@	-person=80
@camden_line@	-metropolitan_transit-transit_line=23 -transit=2
@sherlock@	-broadcast_program=261 -art=18 -product=10 -location=3 -person=2
@rutaceae@	-living_thing=400
@primer@	-art=33 -person=1 -broadcast_program=1
@the_coup@	-person=74 -event=6
@sweet@	-person=214 -art=9 -food=2 -location=2
@buick_riviera@	-product=59 -art=2
@patrick_dewaere@	-person=52 -art=4
@choiseul@	-location=45 -person=3
@mitsubishi_ki-67@	-product=20
@pram@	-person=36 -product=11
@dead_rabbits@	-organization=26 -event=1
@stourbridge@	-location=440 -organization=151
@sussex_county@	-location=326 -organization=2
@fossombrone@	-location=43 -organization=4
@sant_boi_de_llobregat@	-location=36
@casper@	-location=187 -person=77 -broadcast_program=3 -organization=1
@danny_bank@	-person=56
@olavarría@	-location=37
@grand_national_assembly@	-religion-religion=37 -organization=7
@ellerslie_racecourse@	-location=40
@george_wimpey@	-organization=52 -person=3
@bath_county@	-location=87
@bishopstown@	-organization=33 -location=32
@willisau@	-location=25
@serbo-bulgarian_war@	-event=76
@two_worlds@	-art=16 -product=14
@málaga@	-location=968 -organization=179 -product=5 -event=2 -food=1
@andy_fordham@	-person=60
@thornhill@	-location=232 -person=1
@menasha@	-location=52
@walter_hilton@	-person=26
@japanese_conquest_of_burma@	-event=25
@paducah_and_louisville_railway@	-location=22
@goldeneye@	-art=251 -living_thing=24 -location=13 -product=7
@jane_badler@	-person=43
@he@	-person=35 -art=17 -chemistry=16 -organization=7 -language=5 -god=4 -location=2 -product=1
@mike_mills@	-person=267
@world_athletics_final@	-event=40
@sandiacre@	-location=33
@zhou_mi@	-person=23
@carteret@	-location=39 -person=13
@jabi@	-person=21 -location=1
@tauro@	-organization=46 -product=1
@alder@	-living_thing=140 -location=5 -person=1
@black_combe@	-location=21
@shayne_ward@	-person=166 -art=7
@misalliance@	-art=39
@ballinamore@	-location=45
@eastern_association_of_rowing_colleges@	-organization=24
@jay@	-location=60 -person=53 -living_thing=40 -art=7 -organization=3
@aldershot_district@	-organization=22 -location=1
@etchū_province@	-location=20
@saint_mary's@	-organization=21 -location=7
@colonel_sanders@	-person=72 -organization=1
@kobarid@	-location=48 -event=1
@ema@	-organization=19 -award=4 -location=1 -person=1
@henry_vii,_holy_roman_emperor@	-person=29
@david_kreuger@	-person=44
@molly_johnson@	-person=52
@factor_5@	-person=28 -art=1
@the_islands@	-location=26 -art=2
@northumberland_park@	-location=28 -organization=1
@sweet_grass_county,_montana@	-location=27
@gary@	-person=108 -location=10 -product=3
@braunschweig@	-location=826 -organization=4 -event=3
@first_restoration@	-event=19 -location=1
@bratislava@	-location=2326 -event=1 -person=1
@tom_glavine@	-person=217
@kevin_shirley@	-person=121
@mariefred@	-location=38
@uprising@	-art=79 -event=74 -organization=4 -product=2 -location=2 -person=1
@segre@	-location=26 -person=1
